IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
143.47.240.248,443,443,true,FRA,Europe,Frankfurt,179,9.38
89.168.89.168,443,443,true,FRA,Europe,Frankfurt,192,9.38
141.148.226.1,443,443,true,FRA,Europe,Frankfurt,177,9.36
158.101.200.132,443,443,true,FRA,Europe,Frankfurt,184,9.36
140.238.127.240,443,443,true,FRA,Europe,Frankfurt,178,9.35
141.148.225.161,443,443,true,FRA,Europe,Frankfurt,186,9.35
152.70.57.233,443,443,true,FRA,Europe,Frankfurt,201,9.35
141.148.246.208,443,443,true,FRA,Europe,Frankfurt,176,9.34
141.144.195.252,443,443,true,FRA,Europe,Frankfurt,176,9.34
89.168.124.103,443,443,true,FRA,Europe,Frankfurt,177,9.33
79.72.82.0,443,443,true,FRA,Europe,Frankfurt,188,9.31
141.148.242.30,443,443,true,FRA,Europe,Frankfurt,176,9.27
158.101.215.28,443,443,true,FRA,Europe,Frankfurt,176,9.24
144.21.36.82,443,443,true,FRA,Europe,Frankfurt,179,9.23
150.230.23.132,443,443,true,FRA,Europe,Frankfurt,172,9.20
130.162.172.116,443,443,true,FRA,Europe,Frankfurt,186,9.20
89.168.102.70,443,443,true,FRA,Europe,Frankfurt,162,9.18
129.146.137.89,2096,443,true,LAX,North America,Los Angeles,174,9.15
158.180.40.23,443,443,true,FRA,Europe,Frankfurt,164,9.14
152.67.148.82,443,443,true,FRA,Europe,Frankfurt,174,9.13
143.47.229.102,443,443,true,FRA,Europe,Frankfurt,181,9.07
141.147.92.170,443,443,true,FRA,Europe,Frankfurt,181,9.01
89.168.120.222,443,443,true,FRA,Europe,Frankfurt,160,9.00
130.162.166.36,443,443,true,FRA,Europe,Frankfurt,179,8.99
141.147.6.18,443,443,true,FRA,Europe,Frankfurt,177,8.99
158.180.28.19,443,443,true,FRA,Europe,Frankfurt,185,8.99
130.61.23.77,443,443,true,FRA,Europe,Frankfurt,176,8.97
141.148.236.154,443,443,true,FRA,Europe,Frankfurt,176,8.96
141.147.99.154,443,443,true,FRA,Europe,Frankfurt,178,8.91
130.162.181.185,443,443,true,FRA,Europe,Frankfurt,182,8.87
89.168.108.217,443,443,true,FRA,Europe,Frankfurt,169,8.87
152.70.155.147,2087,2087,true,LAX,North America,Los Angeles,225,8.86
141.144.193.5,443,443,true,FRA,Europe,Frankfurt,184,8.85
143.47.229.89,443,443,true,FRA,Europe,Frankfurt,184,8.83
141.148.237.170,443,443,true,FRA,Europe,Frankfurt,182,8.82
138.2.180.217,443,443,true,FRA,Europe,Frankfurt,174,8.79
141.147.96.127,443,443,true,FRA,Europe,Frankfurt,180,8.78
144.21.35.90,443,443,true,FRA,Europe,Frankfurt,183,8.73
158.101.220.243,443,443,true,FRA,Europe,Frankfurt,181,8.73
130.162.181.13,443,443,true,FRA,Europe,Frankfurt,184,8.72
138.3.241.215,443,443,true,FRA,Europe,Frankfurt,177,8.71
144.24.243.207,443,443,true,MXP,Europe,Milan,164,8.70
89.168.117.211,443,443,true,FRA,Europe,Frankfurt,160,8.67
141.148.227.119,443,443,true,FRA,Europe,Frankfurt,199,8.64
129.146.133.33,443,443,true,LAX,North America,Los Angeles,177,8.61
129.159.252.1,443,443,true,FRA,Europe,Frankfurt,165,8.60
141.148.243.188,443,443,true,FRA,Europe,Frankfurt,181,8.57
158.101.214.54,443,443,true,FRA,Europe,Frankfurt,166,8.56
89.168.122.54,443,443,true,FRA,Europe,Frankfurt,166,8.56
132.226.208.144,443,443,true,FRA,Europe,Frankfurt,182,8.54
141.148.239.225,443,443,true,FRA,Europe,Frankfurt,181,8.49
89.168.76.54,443,443,true,FRA,Europe,Frankfurt,172,8.48
84.235.161.141,443,443,true,FRA,Europe,Frankfurt,178,8.48
84.235.175.164,443,443,true,FRA,Europe,Frankfurt,208,8.46
141.148.245.29,443,443,true,FRA,Europe,Frankfurt,177,8.45
84.8.152.30,443,443,true,FRA,Europe,Frankfurt,187,8.20
130.162.233.48,443,443,true,FRA,Europe,Frankfurt,172,8.15
89.168.115.234,443,443,true,FRA,Europe,Frankfurt,163,8.14
143.47.243.144,8443,443,true,LHR,Europe,London,165,8.14
89.168.115.24,443,443,true,FRA,Europe,Frankfurt,159,8.13
158.101.202.149,443,443,true,FRA,Europe,Frankfurt,173,8.12
141.148.235.52,443,443,true,FRA,Europe,Frankfurt,169,8.09
158.180.26.135,443,443,true,FRA,Europe,Frankfurt,153,8.09
164.152.26.70,2052,443,true,ORD,North America,Chicago,206,8.04
152.70.123.225,8443,443,true,SJC,North America,San Jose,177,8.03
155.248.178.58,80,443,true,NRT,Asia Pacific,Tokyo,68,7.98
89.168.112.118,8443,443,true,FRA,Europe,Frankfurt,193,7.94
143.47.242.99,443,443,true,FRA,Europe,Frankfurt,182,7.92
130.162.211.61,443,443,true,FRA,Europe,Frankfurt,168,7.88
141.148.245.210,443,443,true,FRA,Europe,Frankfurt,183,7.84
64.181.240.173,443,443,true,SJC,North America,San Jose,202,7.84
141.147.68.171,443,443,true,FRA,Europe,Frankfurt,178,7.74
164.152.26.70,2086,443,true,ORD,North America,Chicago,202,7.73
152.67.148.75,443,443,true,FRA,Europe,Frankfurt,169,7.73
143.47.190.25,443,443,true,FRA,Europe,Frankfurt,197,7.64
192.9.138.241,443,443,true,SJC,North America,San Jose,198,7.59
132.226.214.86,443,443,true,FRA,Europe,Frankfurt,165,7.48
193.122.197.111,443,443,true,IAD,North America,Ashburn,226,7.48
141.147.104.23,443,443,true,FRA,Europe,Frankfurt,174,7.47
79.72.66.221,443,443,true,FRA,Europe,Frankfurt,195,7.44
150.230.42.80,443,443,true,SJC,North America,San Jose,216,7.40
141.147.113.128,443,443,true,FRA,Europe,Frankfurt,202,7.39
152.70.155.147,8443,8443,true,LAX,North America,Los Angeles,185,7.37
192.9.246.112,8443,443,true,SJC,North America,San Jose,217,7.35
141.144.196.177,443,443,true,FRA,Europe,Frankfurt,216,7.32
84.8.149.198,443,443,true,FRA,Europe,Frankfurt,164,7.31
130.61.181.61,2096,443,true,FRA,Europe,Frankfurt,161,7.27
158.178.153.80,2096,443,true,AMS,Europe,Amsterdam,184,7.22
84.8.158.230,443,443,true,FRA,Europe,Frankfurt,165,7.20
138.2.154.108,443,443,true,FRA,Europe,Frankfurt,181,7.18
141.147.71.194,443,443,true,FRA,Europe,Frankfurt,165,7.17
89.168.122.44,443,443,true,FRA,Europe,Frankfurt,169,7.09
141.148.246.104,443,443,true,FRA,Europe,Frankfurt,179,7.02
141.148.228.182,443,443,true,FRA,Europe,Frankfurt,183,6.99
141.147.17.117,443,443,true,FRA,Europe,Frankfurt,219,6.94
204.216.105.106,8443,8443,true,YYZ,North America,Toronto,240,6.94
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,176,6.90
138.2.180.110,443,443,true,FRA,Europe,Frankfurt,161,6.84
129.80.26.68,443,443,true,IAD,North America,Ashburn,254,6.79
165.1.79.60,8443,443,true,SJC,North America,San Jose,200,6.77
