IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
113.60.219.145,26871,443,true,ICN,Asia Pacific,Seoul,229,0.18
121.200.112.143,13521,443,true,NRT,Asia Pacific,Tokyo,186,0.18
113.60.219.145,16375,443,true,ICN,Asia Pacific,Seoul,202,0.17
113.60.219.145,14152,443,true,ICN,Asia Pacific,Seoul,155,0.17
117.123.31.2,26226,443,true,KIX,Asia Pacific,Osaka,184,0.17
124.80.20.114,25177,443,true,KIX,Asia Pacific,Osaka,227,0.16
117.123.31.2,39657,443,true,ICN,Asia Pacific,Seoul,102,0.16
124.80.74.242,16571,443,true,ICN,Asia Pacific,Seoul,130,0.15
121.200.112.143,38673,443,true,HKG,Asia Pacific,Hong Kong,353,0.15
124.80.20.114,30059,443,true,ICN,Asia Pacific,Seoul,196,0.15
124.80.74.242,19418,443,true,ICN,Asia Pacific,Seoul,114,0.14
117.123.31.2,10723,443,true,HKG,Asia Pacific,Hong Kong,197,0.14
124.80.20.114,30059,443,true,ICN,Asia Pacific,Seoul,99,0.14
117.123.31.2,13379,443,true,KIX,Asia Pacific,Osaka,356,0.14
124.80.74.242,36006,443,true,ICN,Asia Pacific,Seoul,127,0.14
124.80.75.68,39658,443,true,KIX,Asia Pacific,Osaka,192,0.13
117.123.31.2,18854,443,true,NRT,Asia Pacific,Tokyo,171,0.13
117.123.72.132,21979,443,true,NRT,Asia Pacific,Tokyo,137,0.12
117.123.31.2,18065,443,true,HKG,Asia Pacific,Hong Kong,156,0.12
124.80.74.242,20920,443,true,ICN,Asia Pacific,Seoul,117,0.12
113.60.219.145,21423,443,true,ICN,Asia Pacific,Seoul,235,0.12
113.60.219.145,29031,443,true,ICN,Asia Pacific,Seoul,120,0.12
117.123.31.2,34700,443,true,KIX,Asia Pacific,Osaka,180,0.12
113.60.219.145,38803,443,true,ICN,Asia Pacific,Seoul,162,0.12
124.80.20.114,30036,443,true,ICN,Asia Pacific,Seoul,103,0.12
117.123.31.2,33479,443,true,NRT,Asia Pacific,Tokyo,181,0.12
117.123.31.2,27236,443,true,KIX,Asia Pacific,Osaka,174,0.11
124.80.74.242,15205,443,true,ICN,Asia Pacific,Seoul,113,0.11
113.60.219.145,29824,443,true,ICN,Asia Pacific,Seoul,230,0.11
117.123.31.2,33479,443,true,NRT,Asia Pacific,Tokyo,300,0.11
117.123.31.2,24570,443,true,NRT,Asia Pacific,Tokyo,283,0.11
124.80.75.68,15772,443,true,KIX,Asia Pacific,Osaka,183,0.10
117.123.31.2,37805,443,true,KIX,Asia Pacific,Osaka,182,0.10
117.123.72.132,24016,443,true,KIX,Asia Pacific,Osaka,197,0.10
117.123.72.132,19374,443,true,NRT,Asia Pacific,Tokyo,134,0.10
113.60.219.145,36981,443,true,ICN,Asia Pacific,Seoul,121,0.10
113.60.219.145,31901,443,true,ICN,Asia Pacific,Seoul,206,0.10
124.80.75.68,12654,443,true,NRT,Asia Pacific,Tokyo,141,0.10
124.199.30.202,37861,443,true,NRT,Asia Pacific,Tokyo,154,0.10
117.123.72.132,24016,443,true,NRT,Asia Pacific,Tokyo,130,0.10
124.199.33.104,22672,443,true,KIX,Asia Pacific,Osaka,217,0.10
117.123.72.132,19374,443,true,NRT,Asia Pacific,Tokyo,133,0.10
117.123.31.2,31429,443,true,HKG,Asia Pacific,Hong Kong,285,0.10
113.60.219.145,38803,443,true,ICN,Asia Pacific,Seoul,268,0.10
124.80.75.68,25346,443,true,NRT,Asia Pacific,Tokyo,143,0.10
124.80.75.68,26658,443,true,KIX,Asia Pacific,Osaka,187,0.10
113.60.219.145,14152,443,true,ICN,Asia Pacific,Seoul,123,0.10
113.60.219.145,27435,443,true,ICN,Asia Pacific,Seoul,230,0.09
117.123.31.2,21495,443,true,KIX,Asia Pacific,Osaka,168,0.09
117.123.31.2,19310,443,true,NRT,Asia Pacific,Tokyo,122,0.09
117.123.31.2,22644,443,true,KIX,Asia Pacific,Osaka,196,0.09
124.80.133.210,15517,443,true,ICN,Asia Pacific,Seoul,176,0.09
223.222.178.157,26685,443,true,NRT,Asia Pacific,Tokyo,136,0.09
113.60.219.145,29031,443,true,ICN,Asia Pacific,Seoul,231,0.09
124.80.74.242,20399,443,true,ICN,Asia Pacific,Seoul,119,0.08
117.123.31.2,29535,443,true,HKG,Asia Pacific,Hong Kong,282,0.08
117.123.31.2,36960,443,true,KIX,Asia Pacific,Osaka,174,0.08
124.80.75.68,35810,443,true,NRT,Asia Pacific,Tokyo,131,0.08
121.200.112.143,11078,443,true,HKG,Asia Pacific,Hong Kong,308,0.08
117.123.31.2,35978,443,true,KIX,Asia Pacific,Osaka,181,0.08
124.80.133.210,11183,443,true,ICN,Asia Pacific,Seoul,193,0.08
113.60.219.145,16375,443,true,ICN,Asia Pacific,Seoul,235,0.08
117.123.31.2,37731,443,true,KIX,Asia Pacific,Osaka,175,0.08
117.123.31.2,36772,443,true,HKG,Asia Pacific,Hong Kong,181,0.07
124.80.20.114,25177,443,true,KIX,Asia Pacific,Osaka,192,0.07
124.199.44.146,30013,443,true,ICN,Asia Pacific,Seoul,100,0.07
